DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,HTTPS_HOSTNAME,IP_ADDRESS,SHORTENING,REDIRECTING,SUSPICIOUS_TLD,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,TS_TRUSTED,TS_RATING,TS_REVIEWS_COUNT,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
hotmerch.co.uk,11,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,NaN,522967,0,4.8,53,100,NaN,4,1,0,1,1,1,1,1,1,1,60026631,1,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
kfzteile24.de,10,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,137641,1,4.4,4533,100,383,4,1,1,1,1,1,1,1,1,1,1021730,3,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
keycompostables.com,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,305030,0,4.6,18,100,NaN,4,1,0,1,1,1,1,1,1,1,117010738,0,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
shop.koenner-soehnen.com,20,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,1487488,0,NaN,NaN,100,NaN,4,1,0,1,1,1,1,1,1,1,18677841,1,0,14,0,1,4.83,322,NaN,NaN,NaN,NaN,NaN,NaN,1
eagansidingnroofing.com,19,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,169603,0,NaN,NaN,95,NaN,2,1,0,1,1,1,1,1,1,1,NaN,NaN,0,14,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bbt.com,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,NaN,290684,1,0.0,0,100,1001,4,1,1,1,1,1,1,1,1,1,86125,4,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
accipo.de,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,118468,1,4.4,11,100,NaN,4,1,0,1,1,1,1,1,1,1,6948079,2,0,14,1,1,4.92,9793,NaN,NaN,NaN,NaN,NaN,NaN,1
rokk.et,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,NaN,250,0,3.7,1,100,NaN,4,1,0,1,1,1,1,1,1,1,97264002,0,0,14,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
futternest.de,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,987390,1,NaN,NaN,92,NaN,2,1,0,1,1,1,1,1,1,1,67221077,1,0,0,0,1,4.92,216,NaN,NaN,NaN,NaN,NaN,NaN,1
kreuzfahrten-sonderpreise.de,25,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,307638,1,4.5,14,100,NaN,4,1,0,1,1,1,1,1,1,1,31959755,1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
