DOMAIN,DOMAIN_LENGTH,SUBDOMAIN,PORT,AT_SYMBOL,PRE_SUFFIX,IP_ADDRESS,SHORTENING,REDIRECTING,HTTPS,HTTPS_WILDCARD,HSTS,CSP,X_CONTENT_TYPE_OPTIONS,X_FRAME_OPTIONS,SECURE_COOKIES,MOUSE_OVER,RIGHT_CLICK,POPUP,I_FRAME,FAVICON,WEBSITE_TRAFFIC,FORWARDING,TP_RATING,TP_REVIEWS_COUNT,SA_RATING,SA_BACKLINKS,SA_WEBSITE_SPEED,SA_SSL_CERT,VT_RANK_STATVOO,VT_RANK_ALEXA,VT_RANK_CISCO,VT_SEC_HARMLESS,VT_SEC_MALICIOUS,VT_SEC_SUSPICIOUS,GSO_MALTIVERSE,GSO_APWG,GSO_COMPLYTRON,GSO_DNSFILTER,GSO_FLASHSTART,GSO_IQGLOBAL,GSO_PULSEDIVE,GSO_QUAD9,PR_GLOBAL_RANK,PR_PAGE_RANK,UV_DETECTIONS,UV_SITES_SAME_IP,UV_SITES_SAME_IP_DETECTIONS,WHOIS_CREATED_MONTHS,WHOIS_LAST_UPDATED_MONTHS,WHOIS_EXPIRES_IN_MONTHS,WHOIS_DNSSEC,WHOIS_COUNTRY,WHOIS_PRIVACY,TRUST
0-0.fr,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,14173,0,-1,-1,-1,-1,1,-1,-1,-1,-1,62,2,0,1,1,1,1,1,1,1,1,166474599,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
03p.info,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,94100,1,-1,-1,-1,-1,3,-1,-1,735430,-1,64,1,0,1,1,1,1,1,1,1,1,53286520,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
0n-line.tv,10,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,472,1,-1,-1,1,23,4,1,360617,322730,907103,66,1,0,1,1,1,1,0,1,1,1,19669904,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
101nitro.com,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1145,0,-1,-1,72,2,4,0,-1,-1,-1,57,10,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,13,1,11,1,RO,0,0
11trikots.com,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,7176,1,-1,-1,36,3,4,1,-1,-1,-1,64,0,0,1,1,1,1,1,1,1,1,368034597,0,-1,-1,-1,29,5,7,0,CN,1,0
12-suchen.de,12,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,16031,0,-1,-1,82,0,4,0,-1,-1,-1,66,0,0,1,1,1,1,1,1,1,1,47083839,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0
123brennholz.com,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1157,0,-1,-1,50,66,4,0,718992,718992,-1,65,0,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,20,6,4,1,RO,0,0
123woning.com,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,593,1,3.6,3,1,1,2,1,516690,516690,-1,63,1,0,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,33,5,2,0,US,1,0
12masterov.com,14,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,64886,1,-1,-1,31,-1,1,1,-1,-1,-1,64,1,1,1,1,1,1,1,1,1,1,71773462,2,-1,-1,-1,2,1,9,0,IS,1,0
hellotest.com,12,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,213,1,5.0,-1,32,-1,2,1,-1,-1,-1,22,1,1,1,1,1,1,1,1,1,1,123313,2,-1,-1,-1,2,3,6,0,IS,1,0
